show_id,title,description,baseline_json,llm_json,is_json_parseable,field_completeness_score_1_to_5,semantic_quality_score_1_to_5
81145628,Norm of the North: King Sized Adventure,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80117401,Jandino: Whatever it Takes,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.","{""main_theme"": ""other"", ""target_audience"": ""family/teen"", ""mood"": ""light"", ""risk_tags"": []}",,,,
70234439,Transformers Prime,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80058654,Transformers: Robots in Disguise,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80125979,#realityhigh,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.","{""main_theme"": ""family/growth"", ""target_audience"": ""family/teen"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80163890,Apaches,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,"{""main_theme"": ""family/growth"", ""target_audience"": ""family/teen"", ""mood"": ""dark"", ""risk_tags"": [""violence/crime""]}",,,,
70304989,Automata,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80164077,Fabrizio Copano: Solo pienso en mi,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.","{""main_theme"": ""family/growth"", ""target_audience"": ""family/teen"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80117902,Fire Chasers,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
70304990,Good People,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,"{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""dark"", ""risk_tags"": [""violence/crime""]}",,,,
80169755,Joaquín Reyes: Una y no más,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
70299204,Kidnapping Mr. Heineken,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80182480,Krish Trish and Baltiboy,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80182483,Krish Trish and Baltiboy: Battle of Wits,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80182596,Krish Trish and Baltiboy: Best Friends Forever,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80182482,Krish Trish and Baltiboy: Comics of India,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80182597,Krish Trish and Baltiboy: Oversmartness Never Pays,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80182481,Krish Trish and Baltiboy: Part II,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80182621,Krish Trish and Baltiboy: The Greatest Trick,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80057969,Love,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,"{""main_theme"": ""love/relationship"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80060297,Manhattan Romance,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,"{""main_theme"": ""love/relationship"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80046728,Moonwalkers,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""dark"", ""risk_tags"": [""violence/crime""]}",,,,
80046727,Rolling Papers,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
70304988,Stonehearst Asylum,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80057700,The Runner,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,"{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80045922,6 Years,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80244601,Castle of Stars,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80203094,City of Joy,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""dark"", ""risk_tags"": [""violence/crime""]}",,,,
80190843,First and Last,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,"{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
70241607,Laddaland,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.","{""main_theme"": ""family/growth"", ""target_audience"": ""family/teen"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80988892,Next Gen,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.","{""main_theme"": ""adventure/fantasy"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80239639,Sierra Burgess Is A Loser,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,"{""main_theme"": ""love/relationship"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80159586,The Most Assassinated Woman in the World,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
