show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_value,duration_unit,date_added_parsed,year_added,month_added,country_list,listed_in_list,cast_list,gold_rating,pred_rating_global_mode,pred_rating_type_mode
80201827,Movie,Trip to Bhangarh: Asia's Most Haunted Place,Jitender Pawar,"Manish Chaudhary, Suzanna Mukherjee, Piyush Raina, Rachit Behl, Rohit Chaudhury, Vikram Kochhar, Poonam Pandey",India,"November 1, 2017",2014,,113 min,"International Movies, Thrillers","To amuse themselves, six college friends decide to pay a visit to a fortress believed by some to be the most haunted place in Asia.",113,min,2017-11-01,2017.0,11.0,['India'],"['International Movies', 'Thrillers']","['Manish Chaudhary', 'Suzanna Mukherjee', 'Piyush Raina', 'Rachit Behl', 'Rohit Chaudhury', 'Vikram Kochhar', 'Poonam Pandey']",TV-MA,TV-MA,TV-MA
80241410,TV Show,Soundtrack,,"Paul James, Callie Hernandez, Marianne Jean-Baptiste, Jenna Dewan, Jahmil French, Megan Ferguson, Madeleine Stowe, Campbell Scott, Isaiah Givens",United States,"December 18, 2019",2019,,1 Season,"Romantic TV Shows, TV Dramas","Love, loss and transformative luck intersect in this musical drama about two struggling artists experiencing life at full volume in Los Angeles.",1,Season,2019-12-18,2019.0,12.0,['United States'],"['Romantic TV Shows', 'TV Dramas']","['Paul James', 'Callie Hernandez', 'Marianne Jean-Baptiste', 'Jenna Dewan', 'Jahmil French', 'Megan Ferguson', 'Madeleine Stowe', 'Campbell Scott', 'Isaiah Givens']",TV-MA,TV-MA,TV-MA
70071832,Movie,Life in a ... Metro,Anurag Basu,"Dharmendra, Irrfan Khan, Konkona Sen Sharma, Kay Kay Menon, Shilpa Shetty, Shiney Ahuja, Sharman Joshi, Kangana Ranaut, Nafisa Ali, Manoj Pahwa",India,"November 1, 2018",2007,,126 min,"Dramas, International Movies, Music & Musicals",A group of Mumbai up-and-comers search for love and struggle for success in this ensemble drama that centers on an eager young call-center executive.,126,min,2018-11-01,2018.0,11.0,['India'],"['Dramas', 'International Movies', 'Music & Musicals']","['Dharmendra', 'Irrfan Khan', 'Konkona Sen Sharma', 'Kay Kay Menon', 'Shilpa Shetty', 'Shiney Ahuja', 'Sharman Joshi', 'Kangana Ranaut', 'Nafisa Ali', 'Manoj Pahwa']",TV-14,TV-MA,TV-MA
80062011,Movie,Walt Disney Animation Studios Short Films Collection,"Chris Buck, Jennifer Lee, Patrick Osborne, Lauren MacMullan, John Kahrs, Nathan Greno, Byron Howard, Stevie Wermers, Dean Wellins, Kevin Deters, Roger Allers, Mike Gabriel, Mark Henn","Kristen Bell, Josh Gad, Jonathan Groff, Idina Menzel, Geoffrey Jones, Alfre Woodard, Carrie Harrington, Tim Hodge, David Murray, Sarah Chalke, Dave Foley, Derek Richardson, Betty White, Zachary Levi, Mandy Moore",United States,"October 25, 2015",2015,,90 min,Children & Family Movies,"This collection of 12 short films from Disney includes ""Frozen Fever,"" the Mickey Mouse short ""Get a Horse!"" and Oscar winners ""Paperman"" and ""Feast.""",90,min,2015-10-25,2015.0,10.0,['United States'],['Children & Family Movies'],"['Kristen Bell', 'Josh Gad', 'Jonathan Groff', 'Idina Menzel', 'Geoffrey Jones', 'Alfre Woodard', 'Carrie Harrington', 'Tim Hodge', 'David Murray', 'Sarah Chalke', 'Dave Foley', 'Derek Richardson', 'Betty White', 'Zachary Levi', 'Mandy Moore']",TV-G,TV-MA,TV-MA
81142595,TV Show,Voice,,"Andrew Gregson, Khemanit Jamikorn, Nattarat Nopparattayaporn, Pat Chatborirak, Nuttanan Kunnawat, Piyawatt Nivatvongs, Chalad Na Songkhla, Saranyoo Prachakit, Thanongsak Supasap, Supasit Chinvinijkul, Phuksanunt Tanamahataweekit",,"November 5, 2019",2019,,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this remake of the Korean thriller, an esteemed detective and a talented cop join forces to nail the killer who took the lives of their loved ones.",1,Season,2019-11-05,2019.0,11.0,[],"['Crime TV Shows', 'International TV Shows', 'TV Dramas']","['Andrew Gregson', 'Khemanit Jamikorn', 'Nattarat Nopparattayaporn', 'Pat Chatborirak', 'Nuttanan Kunnawat', 'Piyawatt Nivatvongs', 'Chalad Na Songkhla', 'Saranyoo Prachakit', 'Thanongsak Supasap', 'Supasit Chinvinijkul', 'Phuksanunt Tanamahataweekit']",TV-14,TV-MA,TV-MA
80113612,TV Show,Fauda,,"Lior Raz, Hisham Suliman, Shadi Mar'i, Laëtitia Eïdo, Tsahi Halevi, Yuval Segal, Neta Garty, Tomer Kapon, Itzik Cohen, Rona-Lee Shim'on, Boaz Konforty, Doron Ben-David",Israel," May 24, 2018",2018,,2 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion.",2,Season,,,,['Israel'],"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']","['Lior Raz', 'Hisham Suliman', ""Shadi Mar'i"", 'Laëtitia Eïdo', 'Tsahi Halevi', 'Yuval Segal', 'Neta Garty', 'Tomer Kapon', 'Itzik Cohen', ""Rona-Lee Shim'on"", 'Boaz Konforty', 'Doron Ben-David']",TV-MA,TV-MA,TV-MA
80156688,TV Show,Flint Town,,,United States,"March 2, 2018",2018,,1 Season,"Docuseries, Science & Nature TV","Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.",1,Season,2018-03-02,2018.0,3.0,['United States'],"['Docuseries', 'Science & Nature TV']",[],TV-MA,TV-MA,TV-MA
70142386,TV Show,NCIS,,"Mark Harmon, Michael Weatherly, Pauley Perrette, David McCallum, Sean Murray, Cote de Pablo, Brian Dietzen, Rocky Carroll, Lauren Holly, Sasha Alexander, Joe Spano, Alan Dale, Emily Wickersham, Pancho Demmings",United States," July 1, 2018",2017,,15 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",Follow the quirky agents of the NCIS – the Naval Criminal Investigative Service – as they track down terrorists and other high-profile criminals.,15,Season,,,,['United States'],"['Crime TV Shows', 'TV Dramas', 'TV Mysteries']","['Mark Harmon', 'Michael Weatherly', 'Pauley Perrette', 'David McCallum', 'Sean Murray', 'Cote de Pablo', 'Brian Dietzen', 'Rocky Carroll', 'Lauren Holly', 'Sasha Alexander', 'Joe Spano', 'Alan Dale', 'Emily Wickersham', 'Pancho Demmings']",TV-14,TV-MA,TV-MA
80211590,Movie,God's Not Dead: A Light in Darkness,Michael Mason,"David A.R. White, John Corbett, Shane Harper, Ted McGinley, Jennifer Taylor, Benjamin A. Onyango, Tatum O'Neal, Cissy Houston",United States,"December 4, 2018",2018,,106 min,"Dramas, Faith & Spirituality","After a fire breaks out at his church, a pastor faces a legal battle against university leaders who wish to push the congregation off the campus.",106,min,2018-12-04,2018.0,12.0,['United States'],"['Dramas', 'Faith & Spirituality']","['David A.R. White', 'John Corbett', 'Shane Harper', 'Ted McGinley', 'Jennifer Taylor', 'Benjamin A. Onyango', ""Tatum O'Neal"", 'Cissy Houston']",PG,TV-MA,TV-MA
80173606,Movie,The Motive,Manuel Martín Cuenca,"Javier Gutiérrez, María León, Adelfa Calvo, Adriana Paz, Tenoch Huerta, Rafael Téllez, Antonio de la Torre","Spain, Mexico","August 17, 2018",2017,,114 min,"Comedies, Dramas, International Movies",An aspiring writer with no imagination seeks inspiration for his novel by manipulating the lives of his neighbors so that he can write about them.,114,min,2018-08-17,2018.0,8.0,"['Spain', 'Mexico']","['Comedies', 'Dramas', 'International Movies']","['Javier Gutiérrez', 'María León', 'Adelfa Calvo', 'Adriana Paz', 'Tenoch Huerta', 'Rafael Téllez', 'Antonio de la Torre']",TV-MA,TV-MA,TV-MA
81217437,Movie,Mandi,Shyam Benegal,"Shabana Azmi, Smita Patil, Naseeruddin Shah, Amrish Puri, Kulbhushan Kharbanda, Saeed Jaffrey, Om Puri, Sreela Mazumdar, Neena Gupta",India,"January 1, 2020",1983,,155 min,"Dramas, Independent Movies, International Movies","Forbidden love, fraying loyalties and flagrant hypocrisy emerge when sanctimonious politicians drive a madam’s brothel from the heart of Hyderabad.",155,min,2020-01-01,2020.0,1.0,['India'],"['Dramas', 'Independent Movies', 'International Movies']","['Shabana Azmi', 'Smita Patil', 'Naseeruddin Shah', 'Amrish Puri', 'Kulbhushan Kharbanda', 'Saeed Jaffrey', 'Om Puri', 'Sreela Mazumdar', 'Neena Gupta']",TV-MA,TV-MA,TV-MA
80158148,Movie,Apostle,Gareth Evans,"Dan Stevens, Lucy Boynton, Michael Sheen, Mark Lewis Jones, Bill Milner, Kristine Froseth, Paul Higgins, Richard Elfyn, Elen Rhys, Ross O'Hennessy","United Kingdom, United States","October 12, 2018",2018,,130 min,"Horror Movies, International Movies, Thrillers","In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",130,min,2018-10-12,2018.0,10.0,"['United Kingdom', 'United States']","['Horror Movies', 'International Movies', 'Thrillers']","['Dan Stevens', 'Lucy Boynton', 'Michael Sheen', 'Mark Lewis Jones', 'Bill Milner', 'Kristine Froseth', 'Paul Higgins', 'Richard Elfyn', 'Elen Rhys', ""Ross O'Hennessy""]",TV-MA,TV-MA,TV-MA
81009829,Movie,Susanne Bartsch: On Top,"Anthony Caronna, Alexander Smith",Susanne Bartsch,United States,"December 10, 2018",2017,,86 min,"Documentaries, LGBTQ Movies","Beyond her larger-than-life persona, this documentary reveals the woman behind the famed event planner, and her legacy as a cultural icon and activist.",86,min,2018-12-10,2018.0,12.0,['United States'],"['Documentaries', 'LGBTQ Movies']",['Susanne Bartsch'],TV-MA,TV-MA,TV-MA
81026251,Movie,Taylor Swift reputation Stadium Tour,Paul Dugdale,Taylor Swift,,"December 31, 2018",2018,,125 min,Music & Musicals,"Taylor Swift takes the stage in Dallas for the reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",125,min,2018-12-31,2018.0,12.0,[],['Music & Musicals'],['Taylor Swift'],TV-PG,TV-MA,TV-MA
80081990,Movie,Dream/Killer,Andrew Jenks,"Bill Ferguson, Ryan Ferguson",United States,"November 20, 2019",2015,,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.,109,min,2019-11-20,2019.0,11.0,['United States'],['Documentaries'],"['Bill Ferguson', 'Ryan Ferguson']",TV-MA,TV-MA,TV-MA
81018634,Movie,Prince of Peoria: A Christmas Moose Miracle,Jon Rosenbaum,"Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams",United States,"December 17, 2018",2018,,29 min,"Children & Family Movies, Comedies","Teddy's never missed the Festival of Lights, but the bowling alley’s been snowed in! Not to worry – Emil insists the Christmas moose will save the day.",29,min,2018-12-17,2018.0,12.0,['United States'],"['Children & Family Movies', 'Comedies']","['Gavin Lewis', 'Theodore Barnes', 'Shelby Simmons', 'Cynthia Kaye McWilliams']",TV-Y7,TV-MA,TV-MA
80228239,Movie,Guy Martin: Last Flight of the Vulcan Bomber,James Woodroffe,"Guy Martin, Kevin Stone, Shaun Dooley",United Kingdom,"July 26, 2019",2015,,57 min,"Documentaries, International Movies",Guy Martin assists in preparing the last airworthy Vulcan bomber for a farewell tour while revealing the stories behind the iconic aircraft.,57,min,2019-07-26,2019.0,7.0,['United Kingdom'],"['Documentaries', 'International Movies']","['Guy Martin', 'Kevin Stone', 'Shaun Dooley']",TV-G,TV-MA,TV-MA
80118982,Movie,Asu Mare 2,Ricardo Maldonado,"Carlos Alcántara, Emilia Drago, Christian Meier, Andrés Salas, Anahí de Cárdenas, Rodrigo Sánchez Patiño, Denisse Dibós, Javier Delgiudice, Ana Cecilia Natteri",Peru,"December 1, 2016",2015,,100 min,"Comedies, International Movies",To win the heart of his true love – a high-society girl – a hapless commoner plots to change his identity and avoid his embarrassing friends.,100,min,2016-12-01,2016.0,12.0,['Peru'],"['Comedies', 'International Movies']","['Carlos Alcántara', 'Emilia Drago', 'Christian Meier', 'Andrés Salas', 'Anahí de Cárdenas', 'Rodrigo Sánchez Patiño', 'Denisse Dibós', 'Javier Delgiudice', 'Ana Cecilia Natteri']",NR,TV-MA,TV-MA
80173267,Movie,Burlesque: Heart of the Glitter Tribe,Jon Manning,,United States,"June 1, 2017",2017,,76 min,Documentaries,"This revealing documentary probes the onstage personas of Portland, Oregon, burlesque performers who practice wildly different art forms.",76,min,2017-06-01,2017.0,6.0,['United States'],['Documentaries'],[],TV-MA,TV-MA,TV-MA
80987611,Movie,A Billion Colour Story,Padmakumar Narasimhamurthy,"Dhruva Padmakumar, Gaurav Sharma, Vasuki",India,"April 1, 2018",2016,,104 min,"Dramas, Independent Movies, International Movies",The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.,104,min,2018-04-01,2018.0,4.0,['India'],"['Dramas', 'Independent Movies', 'International Movies']","['Dhruva Padmakumar', 'Gaurav Sharma', 'Vasuki']",TV-PG,TV-MA,TV-MA
80039655,Movie,Mike Epps: Don't Take It Personal,L. Frazier,Mike Epps,United States,"December 18, 2015",2015,,60 min,Stand-Up Comedy,Mike Epps tears up the stage at L.A.'s historic Orpheum Theatre in a special packed with blistering impressions and unapologetically raunchy swagger.,60,min,2015-12-18,2015.0,12.0,['United States'],['Stand-Up Comedy'],['Mike Epps'],TV-MA,TV-MA,TV-MA
80114460,Movie,Minimalism: A Documentary About the Important Things,Matt D'Avella,"Joshua Fields Millburn, Ryan Nicodemus",United States,"November 4, 2019",2016,,78 min,Documentaries,People dedicated to rejecting the American ideal that things bring happiness are interviewed in this documentary showing the virtues of less is more.,78,min,2019-11-04,2019.0,11.0,['United States'],['Documentaries'],"['Joshua Fields Millburn', 'Ryan Nicodemus']",TV-14,TV-MA,TV-MA
81040704,TV Show,Taco Chronicles,,,United States,"July 12, 2019",2019,,1 Season,"Docuseries, International TV Shows, Reality TV","Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure.",1,Season,2019-07-12,2019.0,7.0,['United States'],"['Docuseries', 'International TV Shows', 'Reality TV']",[],TV-PG,TV-MA,TV-MA
80167481,Movie,How It Ends,David M. Rosenthal,"Theo James, Forest Whitaker, Kat Graham, Nicole Ari Parker, Mark O'Brien, Grace Dove",United States,"July 13, 2018",2018,,113 min,"Action & Adventure, Sci-Fi & Fantasy","When a mysterious disaster turns the country into a war zone, a young lawyer heads west with his future father-in-law to find his pregnant fiancée.",113,min,2018-07-13,2018.0,7.0,['United States'],"['Action & Adventure', 'Sci-Fi & Fantasy']","['Theo James', 'Forest Whitaker', 'Kat Graham', 'Nicole Ari Parker', ""Mark O'Brien"", 'Grace Dove']",TV-MA,TV-MA,TV-MA
80208906,Movie,Under the Eiffel Tower,Archie Borders,"Matt Walsh, Judith Godreche, Reid Scott, Michaela Watkins, David Wain, Gary Cole",United States,"September 23, 2019",2018,,87 min,"Comedies, Independent Movies, Romantic Movies",An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.,87,min,2019-09-23,2019.0,9.0,['United States'],"['Comedies', 'Independent Movies', 'Romantic Movies']","['Matt Walsh', 'Judith Godreche', 'Reid Scott', 'Michaela Watkins', 'David Wain', 'Gary Cole']",TV-MA,TV-MA,TV-MA
70113347,Movie,Sat Sri Akal,Kamal Sahani,"Kimi Verma, Manpreet Singh, Arun Bali, Dolly Minhas, Avtar Gill, Manmeet Singh, Neelu Kohli, Vivek Shaq, Nirmal Rishi, Pooja Tandon",India,"January 30, 2019",2008,,141 min,"Dramas, Faith & Spirituality, International Movies","Based on true events, this moving story centers on a Punjabi family whose celebration of their faith endures in the face of conflicting attitudes.",141,min,2019-01-30,2019.0,1.0,['India'],"['Dramas', 'Faith & Spirituality', 'International Movies']","['Kimi Verma', 'Manpreet Singh', 'Arun Bali', 'Dolly Minhas', 'Avtar Gill', 'Manmeet Singh', 'Neelu Kohli', 'Vivek Shaq', 'Nirmal Rishi', 'Pooja Tandon']",TV-PG,TV-MA,TV-MA
